"Name","Location","Function Signature","Function Size"
"FUN_080000c0","080000c0","undefined FUN_080000c0()","52"
"FUN_080003a8","080003a8","undefined FUN_080003a8()","384"
"FUN_080005ac","080005ac","undefined FUN_080005ac()","238"
"FUN_080006d0","080006d0","undefined FUN_080006d0()","24"
"FUN_08000724","08000724","undefined FUN_08000724()","68"
"FUN_08000778","08000778","undefined FUN_08000778()","106"
"FUN_080007fc","080007fc","undefined FUN_080007fc()","530"
"FUN_08000a2c","08000a2c","undefined FUN_08000a2c()","642"
"FUN_08000cf4","08000cf4","undefined FUN_08000cf4()","230"
"FUN_08000e04","08000e04","undefined FUN_08000e04()","2040"
"FUN_080016c4","080016c4","undefined FUN_080016c4()","412"
"FUN_0800186c","0800186c","undefined FUN_0800186c()","468"
"FUN_08001b0c","08001b0c","undefined FUN_08001b0c()","3062"
"FUN_0800290c","0800290c","undefined FUN_0800290c()","176"
"FUN_080029bc","080029bc","undefined FUN_080029bc(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6)","2288"
"FUN_080033b4","080033b4","undefined FUN_080033b4()","82"
"FUN_08003414","08003414","undefined FUN_08003414()","20"
"FUN_08003428","08003428","undefined FUN_08003428()","22"
"caseD_3","0800343e","undefined caseD_3(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6)","56"
"FUN_08003488","08003488","undefined FUN_08003488()","58"
"FUN_080034c2","080034c2","undefined FUN_080034c2()","34"
"FUN_080034f0","080034f0","undefined FUN_080034f0()","406"
"FUN_080036dc","080036dc","undefined FUN_080036dc()","184"
"FUN_08003798","08003798","undefined FUN_08003798(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8\, undefined4 param_9\, undefined4 param_10\, undefined4 param_11\, undefined4 param_12)","2254"
"FUN_080040fa","080040fa","undefined FUN_080040fa(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","18"
"FUN_0800410c","0800410c","undefined FUN_0800410c(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined param_5\, undefined param_6\, undefined param_7\, undefined param_8\, undefined param_9\, undefined param_10\, undefined4 param_11)","734"
"FUN_08004434","08004434","undefined FUN_08004434()","16"
"FUN_0800444c","0800444c","undefined FUN_0800444c()","994"
"FUN_0800486c","0800486c","undefined FUN_0800486c()","2484"
"FUN_080052e8","080052e8","undefined FUN_080052e8()","16"
"FUN_08005310","08005310","undefined FUN_08005310()","1506"
"FUN_0800597c","0800597c","undefined FUN_0800597c()","1846"
"FUN_08006134","08006134","undefined FUN_08006134()","1370"
"FUN_080066d8","080066d8","undefined FUN_080066d8()","92"
"FUN_0800673c","0800673c","undefined FUN_0800673c()","502"
"FUN_080069ac","080069ac","undefined FUN_080069ac()","888"
"FUN_08006e64","08006e64","undefined FUN_08006e64()","346"
"FUN_08006ff4","08006ff4","undefined FUN_08006ff4()","1144"
"FUN_080074a8","080074a8","undefined FUN_080074a8()","1356"
"FUN_08007e24","08007e24","undefined FUN_08007e24()","68"
"FUN_08007e9c","08007e9c","undefined FUN_08007e9c()","38"
"FUN_08007ec8","08007ec8","undefined FUN_08007ec8()","136"
"FUN_0800964c","0800964c","undefined FUN_0800964c()","22"
"FUN_0800b086","0800b086","undefined FUN_0800b086()","6"
"FUN_0800b098","0800b098","undefined FUN_0800b098()","26"
"FUN_0800baa4","0800baa4","undefined FUN_0800baa4()","6"
"FUN_0800baac","0800baac","undefined FUN_0800baac()","206"
"FUN_0800bb88","0800bb88","undefined FUN_0800bb88()","1458"
"FUN_0800c1c8","0800c1c8","undefined FUN_0800c1c8(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8\, undefined4 param_9\, undefined4 param_10\, undefined4 param_11)","512"
"FUN_0800c728","0800c728","undefined FUN_0800c728()","88"
"FUN_0800c780","0800c780","undefined FUN_0800c780(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined param_5\, undefined param_6\, undefined param_7\, undefined param_8\, undefined param_9\, undefined param_10\, undefined4 param_11\, undefined4 param_12)","66"
"FUN_0800cec8","0800cec8","undefined FUN_0800cec8(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8\, undefined4 param_9\, undefined4 param_10\, undefined4 param_11\, undefined1 param_12\, undefined1 param_13\, undefined2 param_14\, undefined2 param_15\, undefined2 param_16\, undefined1 param_17\, undefined1 param_18\, undefined2 param_19\, undefined2 param_20\, undefined2 param_21\, undefined2 param_22\, undefined4 param_23\, undefined4 param_24\, undefined4 param_25\, undefined4 param_26\, undefined4 param_27\, undefined4 param_28\, undefined4 param_29\, undefined4 param_30\, undefined4 param_31\, undefined4 param_32\, undefined4 param_33\, undefined4 param_34\, undefined4 param_35\, undefined4 param_36\, undefined4 param_37\, undefined4 param_38\, undefined4 param_39\, undefined4 param_40\, undefined4 param_41\, undefined4 param_42\, undefined4 param_43)","6046"
"FUN_0800eaec","0800eaec","undefined FUN_0800eaec(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8\, undefined4 param_9\, undefined4 param_10\, undefined4 param_11)","1318"
"FUN_0800f024","0800f024","undefined FUN_0800f024()","4"
"FUN_0800f028","0800f028","undefined FUN_0800f028(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined param_5\, undefined param_6\, undefined param_7\, undefined param_8\, undefined param_9\, undefined param_10\, undefined4 param_11)","104"
"FUN_0800f0ac","0800f0ac","undefined FUN_0800f0ac(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined param_8\, undefined4 param_9\, undefined4 param_10)","744"
"FUN_0800f3c4","0800f3c4","undefined FUN_0800f3c4()","386"
"FUN_0800f5bc","0800f5bc","undefined FUN_0800f5bc()","1022"
"FUN_0800f9c0","0800f9c0","undefined FUN_0800f9c0()","886"
"FUN_0800fd8c","0800fd8c","undefined FUN_0800fd8c()","52"
"FUN_0800fdc8","0800fdc8","undefined FUN_0800fdc8()","28"
"FUN_08010f1e","08010f1e","undefined FUN_08010f1e()","134"
"FUN_0801103c","0801103c","undefined FUN_0801103c()","24"
